CustomerID,FullName,PhoneNumber,Email,IDNumber,Gender,UserID
CUST00001,Jeremy Bennett,001-415-884-0027x9814,wchen@example.com,276-02-0809,Other,USR00001
CUST00002,Mr. Jordan Wright,(513)797-4592x49387,mperez@example.org,744-65-8471,Male,USR00002
CUST00003,Tracie Smith,863-374-4610,lisa39@example.net,055-95-7764,Other,USR00003
CUST00004,Curtis Tran,(350)330-7144,qholmes@example.org,294-01-8973,Male,USR00004
CUST00005,David Smith,295-323-0503,hectorray@example.org,026-19-7406,Male,USR00005
CUST00006,Gabriella Reed,+1-878-535-5354x848,whitebrenda@example.org,469-15-7252,Male,USR00006
CUST00007,David Frederick,800-899-6722x1498,skhan@example.com,065-71-5773,Other,USR00007
CUST00008,Robert Thompson,8529038917,eric34@example.com,899-69-7308,Other,USR00008
CUST00009,Roger Castillo,228-629-6130,megangould@example.com,447-42-3610,Male,USR00009
CUST00010,Tammy Lopez,(256)405-6697x73472,jacquelinewilliams@example.com,738-76-8385,Other,USR00010
CUST00011,Richard Marks,602-346-7074,thomas34@example.org,731-20-8921,Male,USR00011
CUST00012,Catherine Taylor,280.841.4310x8324,fallen@example.org,867-98-9394,Male,USR00012
CUST00013,Jason Bryant,7412457178,kaylagarrett@example.net,118-19-4158,Female,USR00013
CUST00014,Patricia Gibson,816.344.8851,matthewgarcia@example.net,699-94-5890,Male,USR00014
CUST00015,Shelly Jackson,791-272-8989,sean46@example.org,579-45-6207,Other,USR00015
CUST00016,William David,001-206-732-0126x861,judy63@example.net,773-71-2895,Other,USR00016
CUST00017,Allison Powell,7747770189,diane16@example.net,467-11-7825,Female,USR00017
CUST00018,John Palmer,(258)699-8732,johnfarmer@example.com,460-80-5888,Other,USR00018
CUST00019,Joseph Fernandez,(987)467-6084x988,dunlapmichael@example.org,078-88-2323,Other,USR00019
CUST00020,Tyler Jones,524.361.3511x337,saraklein@example.org,313-46-0439,Other,USR00020
CUST00021,Paula Clark,+1-617-962-7112,tammy51@example.net,596-59-5657,Male,USR00021
CUST00022,Tammy Thompson,(667)608-7337x70543,ypeterson@example.net,885-31-6452,Other,USR00022
CUST00023,Stacey Maddox,+1-555-722-4458x331,xcantu@example.net,412-49-6057,Male,USR00023
CUST00024,David Patel,001-712-792-0431,vhill@example.com,346-25-2031,Female,USR00024
CUST00025,Benjamin Martinez,654.993.3475x2349,dorothy29@example.net,642-87-3574,Other,USR00025
