StaffID,DepartmentID,BranchID,FullName,Gender,BirthDate,StartDate,EndDate,Salary,Address,PhoneNumber,UserID
ST00001,DP01882,BR00342,Heather Kennedy,Male,1993-05-25,2024-06-10,2024-06-22,3755.42,"541 Carter Passage Apt. 342
Lake Johnfurt AL 65027",(859)739-7032,USR06407
ST00002,DP02225,BR00046,Lance Brennan,Female,1982-03-26,2024-07-08,2024-11-15,4767.8,"1719 Andrea Expressway Apt. 878
New William CA 53648",(943)637-4419,USR01202
ST00003,DP05094,BR00344,Ethan Woods,Male,2005-04-16,2024-02-11,2024-08-21,3159.84,"17688 Williamson Rapid
Wallaceton WV 38560",2782533346,USR00650
ST00004,DP05893,BR00882,Steve Briggs,Female,1959-12-08,2021-06-16,2022-12-18,5688.47,"44009 Alejandro Burgs Apt. 457
Gregoryburgh CO 16621",333.838.6935x641,USR05665
ST00005,DP08775,BR00136,Deborah Hall,Female,1978-10-13,2022-12-02,,9560.88,"102 Alicia Roads Apt. 645
New Ericchester PR 70029",(265)404-9475x8927,USR05452
ST00006,DP02832,BR00989,Kaylee Jones,Male,2000-11-01,2024-10-13,2024-11-30,5193.04,"9022 Wayne Junction
Lake Nathanburgh IA 47209",(536)457-4694x531,USR03960
ST00007,DP00758,BR00391,Mr. Matthew Kelley,Female,1992-08-19,2023-06-12,2024-07-18,3458.53,"04013 Hannah Loaf Suite 885
Salasstad VT 62523",(567)680-2282x6406,USR02075
ST00008,DP07205,BR00512,Matthew Mann,Female,1990-01-24,2024-04-15,,9163.05,"157 King Crossroad
Port Johnchester IL 63212",001-402-902-3257x4808,USR05337
ST00009,DP00169,BR00565,Jennifer Elliott,Female,1975-04-17,2021-08-02,,8223.54,"6360 Munoz Avenue Suite 892
West Susan MN 77626",375-478-8006,USR03998
ST00010,DP09043,BR00604,William Downs,Female,1982-06-25,2023-02-17,,6780.11,"9413 Shelby Ridges
North Lee TX 39139",(939)745-2828x351,USR09897
ST00011,DP04560,BR00558,Jonathan Williams,Female,1969-05-17,2021-05-29,,7419.02,"45297 Misty Locks
Josephville MS 27775",001-731-990-2051x656,USR02936
ST00012,DP04443,BR00808,Makayla Sellers,Male,2002-01-12,2021-12-24,,5151.34,"4331 Darrell Station
Port Jeremy OR 25724",001-925-722-3249,USR09421
