UserID,Username,Password,Role
db8c7086-dde8-4edd-b5fd-7f3b9a6cc91c,tran.quang8555,#9pG#*Ym^7Q0,STAFF
e5abde12-4981-4d0b-a86e-b02659dfb090,nguyen.nam9597,WpI#DPXPHfdk,STAFF
d0a2255c-dcd7-4260-91df-73bbc12c24bb,phan.thi2638,n1fcIcA8cKtr,STAFF
21479b3b-be4a-41e6-b80a-cbbc4d0ccd59,le.huu544,Bc8YXpagPM*V,CUSTOMER
ed244213-342e-41bf-9bfb-5c9e49696de1,bui.van9434,o!oPC9Ngq%#W,CUSTOMER
f4764fa3-6067-45fd-ae11-a6c69ffd5a08,pham.anh5976,UvkPZ5gZ**ML,CUSTOMER
b9ab8cce-c14a-40b0-81b6-c04ac203a6fc,dang.quang3349,uglCen&b&t83,CUSTOMER
8886ea1d-55a3-4fdb-a55b-04db046e6818,pham.minh5130,bDjD!Kpg6hUV,CUSTOMER
8676bdd2-03be-4658-8548-1bbe25dfa9bc,pham.tuan8710,RmuKsNS$H5Bf,CUSTOMER
581fe177-b10b-4178-a5a7-1a8f35994f92,nguyen.thi1023,GygA#5O#EVGO,MANAGER
9c8cff67-1d0d-4821-8cf8-230a82c7bcea,huynh.duc8522,$SHi&7FuACn7,STAFF
04c738c7-1be8-44de-bf3d-a0a4416e6d91,pham.minh9619,*b*C^tXtK1Oc,STAFF
2207d72a-7000-4584-a381-6797653192e8,dang.minh4503,sbb#Oa^k^Sdi,CUSTOMER
f850d35a-ab60-4f62-8525-ddc5f8469dd7,hoang.quang8651,CO6hS3O1PjQb,STAFF
0c4d7e51-b894-43f9-b9d8-cf2b1b107f7a,phan.minh453,xc*WqYPIPWKe,MANAGER
fa0b3a67-8f21-4b5f-af23-c9a6a77751b4,dang.duc1669,8k!dnu#K66Uu,CUSTOMER
fd674d99-e7d7-4360-b24c-a39cd50bcd26,bui.anh2325,ruCLkTP$JZsM,CUSTOMER
ef0065a6-5071-4a65-8cbf-435b48818a83,do.minh6206,@o%Fj$p0Q7gl,CUSTOMER
b23e45d9-bf9e-42a4-a874-0e02d4ebda8d,hoang.van3597,e72s^Bd2nMvZ,CUSTOMER
d1fce09d-0f9f-4d82-815c-f3e2cd05c41e,bui.hong4487,jk%p*BdNEMJo,STAFF
43989980-7071-4b94-bd51-2e23036ce240,vu.huu4707,%ycf!gLu&r20,CUSTOMER
d32f3973-87bf-4f30-9655-60d61decad85,dang.tuan2659,5jbLwIMkopBw,CUSTOMER
7519b597-3bb0-4cde-b412-a0379a537f82,vu.anh2693,xiPm$$iSI3bC,CUSTOMER
